"Year","Geographylevel","Indicator","Categories","Sex","Percent","Mean","LowerCI","UpperCI"
"2018","Scotland","Smoking status","Current smoker","Male",21,NA,18.1,23.4
"2019","Scotland","Smoking status","Never smoked/Used to smoke occasionally","All",59,NA,57.6,61.4
"2019","Scotland","Smoking status","Used to smoke regularly","All",23,NA,21.6,24.6
"2019","Scotland","Smoking status","Current smoker","All",17,NA,15.8,19
"2019","Scotland","Smoking status","Never smoked/Used to smoke occasionally","Female",61,NA,59,63.4
"2019","Scotland","Smoking status","Used to smoke regularly","Female",23,NA,20.9,24.3
"2019","Scotland","Smoking status","Current smoker","Female",16,NA,14.4,18
"2019","Scotland","Smoking status","Never smoked/Used to smoke occasionally","Male",58,NA,55.1,60.3
"2019","Scotland","Smoking status","Used to smoke regularly","Male",24,NA,21.4,25.7
"2019","Scotland","Smoking status","Current smoker","Male",19,NA,16.5,21
